id,name,now_cost,position,team,chance_of_playing_this_round,starts,total_points,news_added,form,expected_goal_involvements,cost_change_event_fall,direct_freekicks_order,goals_scored,form_rank_type,selected_by_percent,expected_assists,in_dreamteam,saves,value_season,creativity,expected_goals_per_90,bps,status,ep_next,expected_goal_involvements_per_90,selected_rank,web_name,penalties_saved,influence_rank_type,own_goals,cost_change_start_fall,creativity_rank_type,transfers_in_event,points_per_game_rank_type,chance_of_playing_next_round,transfers_out_event,event_points,threat_rank_type,expected_goals_conceded_per_90,transfers_out,now_cost_rank,penalties_missed,starts_per_90,expected_goals_conceded,influence,yellow_cards,expected_goals,value_form,ict_index_rank_type,clean_sheets,ep_this,transfers_in,minutes,expected_assists_per_90,news,bonus,goals_conceded,corners_and_indirect_freekicks_order,threat_rank,now_cost_rank_type,goals_conceded_per_90,points_per_game_rank,penalties_order,ict_index_rank,cost_change_event,cost_change_start,selected_rank_type,red_cards,form_rank,creativity_rank,threat,points_per_game,saves_per_90,ict_index,clean_sheets_per_90,influence_rank,assists,dreamteam_count
12,Gabriel Martinelli Silva,78,MID,Arsenal,100.0,9,31,2023-11-12T02:00:08.588141Z,2.2,2.75,0,3.0,1,68,7.3,1.53,False,0,4.0,287.0,0.15,137,d,2.0,0.34,53,Martinelli,0,52,0,2,17,10890,55,75.0,37917,2,16,0.74,1406863,16,0,1.12,5.89,163.0,0,1.22,0.3,19,2,3.2,737863,721,0.19,Muscle injury - 75% chance of playing,0,8,2.0,29,9,1.0,129,,27,0,-2,17,0,143,22,268.0,3.1,0.0,71.7,0.25,130,2,0
13,Eddie Nketiah,57,FWD,Arsenal,75.0,9,50,2023-11-09T08:30:08.250179Z,5.0,3.45,0,,5,7,10.2,0.31,False,0,8.8,90.6,0.37,159,a,5.5,0.41,38,Nketiah,0,14,0,-2,16,39872,10,100.0,48347,1,13,0.66,764721,86,0,1.06,5.63,179.4,2,3.14,0.9,13,6,4.5,1369143,766,0.04,,5,5,,27,27,0.59,52,,59,0,2,6,0,32,145,272.0,4.2,0.0,53.4,0.7,121,2,1
14,Martin Ødegaard,83,MID,Arsenal,75.0,9,48,2023-11-04T21:00:08.152623Z,0.5,3.77,1,1.0,3,163,14.2,1.16,False,0,5.8,239.2,0.3,161,d,0.8,0.43,27,Ødegaard,0,31,0,2,27,1908,10,75.0,85408,0,27,0.87,2075623,10,0,1.03,7.61,217.4,1,2.61,0.1,26,4,1.1,1077133,789,0.13,Hip injury - 75% chance of playing,6,7,3.0,44,7,0.8,17,2.0,37,-1,-2,10,0,338,34,197.0,5.3,0.0,65.3,0.46,81,2,1
15,Thomas Partey,48,MID,Arsenal,0.0,3,7,2023-10-25T12:00:07.465521Z,0.0,0.28,0,,0,272,0.2,0.21,False,0,1.5,60.0,0.03,58,i,0.0,0.11,344,Thomas,0,124,0,2,119,10,119,0.0,316,0,162,0.91,35492,290,0,1.08,2.53,55.8,0,0.07,0.0,137,1,0.0,8477,250,0.08,Muscle injury - Unknown return date,0,2,,321,190,0.72,271,,303,0,-2,104,0,665,204,15.0,1.8,0.0,13.1,0.36,295,0,0
16,Nicolas Pépé,49,MID,Arsenal,0.0,0,0,2023-09-11T14:13:51.462896Z,0.0,0.00,0,,0,282,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,515,Pepe,0,297,0,1,296,0,298,0.0,24,0,294,0.0,6178,242,0,0.0,0.00,0.0,0,0.00,0.0,298,0,0.0,667,0,0.0,Permanent move to Trabzonspor,0,0,,696,155,0.0,704,,703,0,-1,179,0,678,699,0.0,0.0,0.0,0.0,0.0,701,0,0
17,Aaron Ramsdale,47,GKP,Arsenal,,4,11,,0.0,0.01,0,,0,83,7.6,0.01,False,5,2.3,0.0,0.0,55,a,0.5,0.0,49,Ramsdale,0,23,0,3,78,4112,15,,15681,0,76,0.93,1249799,325,0,1.0,3.73,51.0,0,0.00,0.0,23,1,1.0,217702,360,0.0,,0,4,,676,12,1.0,154,,376,0,-3,9,0,656,683,0.0,2.8,1.25,5.1,0.25,301,0,0
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,0.0,0,0,2023-08-20T06:33:02.960208Z,0.0,0.00,0,,0,51,0.1,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,411,Rúnarsson,0,52,0,0,36,0,52,0.0,85,0,29,0.0,9696,628,0,0.0,0.00,0.0,0,0.00,0.0,52,0,0.0,990,0,0.0,Season long loan to Cardiff City,0,0,,450,44,0.0,500,,496,0,0,59,0,423,474,0.0,0.0,0.0,0.0,0.0,489,0,0
19,Bukayo Saka,86,MID,Arsenal,75.0,11,71,2023-11-09T08:30:08.290130Z,4.5,7.48,0,,4,23,50.3,3.33,True,0,8.3,424.0,0.4,264,a,5.0,0.72,2,Saka,0,5,0,-1,3,99695,3,100.0,39713,5,8,0.82,3252645,7,0,1.05,8.62,338.2,1,4.15,0.5,2,4,4.1,2399384,945,0.32,,8,10,1.0,14,5,0.95,5,1.0,3,0,1,1,0,48,4,351.0,6.5,0.0,111.3,0.38,13,6,2
20,William Saliba,54,DEF,Arsenal,100.0,12,55,2023-10-09T08:30:07.861646Z,4.8,1.16,-1,,1,12,30.3,0.46,True,0,10.2,53.8,0.06,250,a,5.3,0.1,11,Saliba,0,14,0,-4,58,193099,8,100.0,6653,9,58,0.8,1202527,127,0,1.0,9.55,249.8,0,0.70,0.9,35,5,5.8,2166582,1080,0.04,,5,10,,216,9,0.83,37,,128,1,4,3,0,39,218,44.0,4.6,0.0,34.9,0.42,49,1,0
22,Emile Smith Rowe,53,MID,Arsenal,25.0,1,9,2023-11-02T11:00:07.493976Z,1.8,0.85,0,,0,90,0.1,0.05,False,0,1.7,17.2,0.69,24,d,0.6,0.73,402,Smith Rowe,0,149,0,2,174,12,95,25.0,296,0,117,0.15,15004,141,0,0.87,0.17,33.8,0,0.80,0.3,152,1,0.7,4624,104,0.04,Knee injury - 25% chance of playing,0,0,,223,90,0.0,221,,336,0,-2,130,0,193,333,41.0,2.2,0.0,9.1,0.87,341,1,0
24,Kieran Tierney,44,DEF,Arsenal,0.0,0,0,2023-08-29T07:46:59.686803Z,0.0,0.00,0,,0,207,0.1,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,398,Tierney,0,227,0,1,227,0,225,0.0,92,0,225,0.0,27854,505,0,0.0,0.00,0.0,0,0.00,0.0,227,0,0.0,2665,0,0.0,Season long loan to Real Sociedad,0,0,,561,105,0.0,598,,592,0,-1,154,0,539,575,0.0,0.0,0.0,0.0,0.0,585,0,0
25,Takehiro Tomiyasu,45,DEF,Arsenal,100.0,3,20,2023-08-22T00:00:07.272418Z,3.0,0.61,0,,1,23,0.4,0.23,False,0,4.4,26.2,0.08,76,a,3.5,0.13,247,Tomiyasu,0,105,0,0,104,3300,79,100.0,1086,2,51,1.03,25073,388,0,0.65,4.77,76.8,0,0.38,0.7,101,1,4.0,35493,415,0.05,,0,4,,207,75,0.87,238,,289,0,0,95,1,89,306,46.0,2.0,0.0,14.7,0.22,261,0,0
26,Leandro Trossard,65,MID,Arsenal,100.0,3,35,2023-10-09T08:30:07.911344Z,5.2,2.06,0,,3,14,2.2,1.05,False,0,5.4,127.3,0.3,118,a,5.7,0.62,127,Trossard,0,54,0,5,69,38378,25,100.0,2844,13,40,0.65,505513,46,0,0.9,2.18,158.2,0,1.01,0.8,57,1,6.2,174989,300,0.32,,6,3,4.0,65,28,0.9,44,,91,0,-5,36,0,25,95,151.0,4.4,0.0,43.7,0.3,135,1,2
29,Benjamin White,58,DEF,Arsenal,,11,53,2023-11-12T02:00:08.673390Z,2.0,1.38,0,,1,51,14.9,0.82,False,0,9.1,176.2,0.05,236,d,1.9,0.13,24,White,0,21,0,-3,11,6805,6,75.0,142658,0,22,0.88,684633,75,0,1.05,9.24,229.0,2,0.56,0.3,13,5,3.0,1193725,947,0.08,Muscle injury - 75% chance of playing,7,9,,151,6,0.86,29,,74,0,3,8,0,170,56,77.0,4.8,0.0,48.2,0.48,69,1,2
30,Granit Xhaka,60,MID,Arsenal,0.0,0,0,2023-07-11T08:41:07.159936Z,0.0,0.00,0,,0,316,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,670,Xhaka,0,319,0,0,319,0,319,0.0,5,0,319,0.0,1184,63,0,0.0,0.00,0.0,0,0.00,0.0,319,0,0.0,0,0,0.0,Transferred to Bayer Leverkusen,0,0,,735,39,0.0,734,,735,0,0,272,0,726,735,0.0,0.0,0.0,0.0,0.0,735,0,0
31,Oleksandr Zinchenko,49,DEF,Arsenal,,8,44,,4.8,1.34,0,,1,11,6.8,1.00,False,0,9.0,170.2,0.05,191,a,5.3,0.19,62,Zinchenko,0,49,0,1,13,82801,12,,4019,10,26,0.75,463598,247,0,1.09,5.52,157.8,1,0.34,1.0,24,4,5.8,446895,663,0.14,,6,6,,155,31,0.81,61,,102,0,-1,20,0,37,63,73.0,4.0,0.0,40.0,0.54,137,0,1
113,David Raya Martin,49,GKP,Arsenal,,8,35,2023-11-13T01:00:08.923385Z,3.2,0.00,0,,0,5,4.7,0.00,False,12,7.1,0.0,0.0,152,n,0.0,0.0,85,Raya,0,21,0,1,81,7708,3,0.0,22511,3,80,0.73,406026,235,0,1.0,5.82,112.0,0,0.00,0.7,21,4,4.2,363566,720,0.0,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,2,6,,693,8,0.75,43,,319,0,-1,14,0,81,696,0.0,4.4,1.5,11.1,0.5,207,0,0
540,Declan Rice,54,MID,Arsenal,100.0,12,46,2023-09-24T22:30:08.321972Z,4.8,1.64,0,,2,18,5.4,0.74,False,0,8.5,151.3,0.08,217,a,5.3,0.15,75,Rice,0,13,0,1,50,10773,39,100.0,12517,2,73,0.78,446154,122,0,1.06,8.84,263.8,0,0.90,0.9,43,5,5.8,330251,1023,0.07,,5,9,,119,77,0.79,80,,66,0,-1,23,0,38,69,99.0,3.8,0.0,51.5,0.44,41,1,1
578,Reiss Nelson,49,MID,Arsenal,100.0,0,5,2023-08-07T15:30:06.067296Z,0.5,0.16,0,,0,157,0.0,0.14,False,0,1.0,32.4,0.03,17,a,1.0,0.24,522,Nelson,0,180,0,1,149,114,203,100.0,130,1,177,0.83,6088,243,0,0.0,0.56,10.8,0,0.02,0.1,171,0,1.5,5561,61,0.21,,0,0,,348,156,0.0,419,,374,0,-1,184,0,328,279,10.0,1.0,0.0,5.3,0.0,399,0,0
585,Jurriën Timber,46,DEF,Arsenal,0.0,1,0,2023-08-12T18:00:07.121160Z,0.0,0.01,0,,0,228,0.5,0.01,False,0,0.0,2.4,0.0,3,i,0.0,0.02,240,J.Timber,0,157,0,4,145,42,238,0.0,440,0,239,0.51,475314,347,0,1.84,0.28,3.6,1,0.00,0.0,156,0,0.0,11787,49,0.02,Knee injury - Unknown return date,0,0,,674,48,0.0,690,,439,0,-4,93,0,651,393,0.0,0.0,0.0,0.6,0.0,431,0,0
646,Karl Hein,40,GKP,Arsenal,,0,0,,0.0,0.00,0,,0,67,0.1,0.00,False,0,0.0,0.0,0.0,0,a,0.5,0.0,505,Hein,0,68,0,0,52,115,68,,121,0,45,0.0,2473,679,0,0.0,0.00,0.0,0,0.00,0.0,68,0,1.0,3573,0,0.0,,0,0,,494,60,0.0,544,,539,0,0,68,0,469,517,0.0,0.0,0.0,0.0,0.0,532,0,0
735,Charles Sagoe,45,MID,Arsenal,,0,0,,0.0,0.00,0,,0,251,0.0,0.00,False,0,0.0,0.0,0.0,0,a,1.7,0.0,736,Sagoe,0,272,0,0,273,93,279,,11,0,268,0.0,11,445,0,0.0,0.00,0.0,0,0.00,0.0,276,0,2.2,93,0,0.0,,0,0,,653,259,0.0,676,,673,0,0,315,0,632,662,0.0,0.0,0.0,0.0,0.0,667,0,0
736,Reuell Walters,40,DEF,Arsenal,,0,0,,0.0,0.00,0,,0,176,0.0,0.00,False,0,0.0,0.0,0.0,0,a,1.8,0.0,713,Walters,0,210,0,0,207,276,206,,32,0,200,0.0,32,702,0,0.0,0.00,0.0,0,0.00,0.0,209,0,2.3,276,0,0.0,,0,0,,513,218,0.0,562,,557,0,0,237,0,488,535,0.0,0.0,0.0,0.0,0.0,551,0,0
737,Bradley Ibrahim,45,MID,Arsenal,,0,0,,0.0,0.00,0,,0,255,0.0,0.00,False,0,0.0,0.0,0.0,0,a,1.7,0.0,737,Ibrahim,0,275,0,0,277,69,281,,10,0,272,0.0,10,455,0,0.0,0.00,0.0,0,0.00,0.0,279,0,2.2,69,0,0.0,,0,0,,661,264,0.0,682,,680,0,0,316,0,641,670,0.0,0.0,0.0,0.0,0.0,674,0,0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,100.0,0,0,2023-09-24T22:30:06.810510Z,0.0,0.00,0,,0,232,0.1,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,434,Alex Moreno,0,240,0,0,240,1367,239,100.0,439,0,240,0.0,9675,173,0,0.0,0.00,0.0,0,0.00,0.0,240,0,0.0,10997,0,0.0,,0,0,,705,21,0.0,712,,712,0,0,168,0,689,708,0.0,0.0,0.0,0.0,0.0,712,0,0
34,Leon Bailey,55,MID,Aston Villa,100.0,2,38,2023-09-28T04:00:07.310756Z,3.8,3.80,0,,3,34,1.1,1.87,False,0,6.9,129.2,0.51,115,a,3.8,1.0,169,Bailey,0,50,0,0,66,1538,41,100.0,2327,4,57,1.8,232303,103,0,0.53,6.81,170.2,1,1.93,0.7,58,1,3.8,242522,341,0.49,,3,7,4.0,93,63,1.85,82,,93,0,0,57,0,65,91,129.0,3.8,0.0,42.8,0.26,126,3,1
35,Emiliano Buendía Stati,57,MID,Aston Villa,0.0,0,0,2023-08-10T11:00:05.686871Z,0.0,0.00,0,,0,313,0.0,0.00,False,0,0.0,0.0,0.0,0,i,0.0,0.0,530,Buendia,0,318,0,3,318,12,318,0.0,38,0,318,0.0,16751,85,0,0.0,0.00,0.0,0,0.00,0.0,318,0,0.0,551,0,0.0,Knee injury - Expected back 10 Feb,0,0,,733,53,0.0,732,,733,0,-3,189,0,722,733,0.0,0.0,0.0,0.0,0.0,733,0,0
36,Matty Cash,52,DEF,Aston Villa,100.0,12,45,2023-11-05T22:00:08.120450Z,2.2,4.74,0,,2,39,33.8,1.31,False,0,8.7,92.4,0.3,202,a,2.2,0.42,9,Cash,0,17,1,-7,32,27257,19,100.0,48777,2,1,1.28,836715,158,0,1.06,14.56,245.4,3,3.43,0.4,4,3,2.2,3418847,1023,0.12,,4,15,,30,15,1.32,76,,46,0,7,2,0,136,143,264.0,3.8,0.0,60.3,0.26,55,1,1
37,Calum Chambers,39,DEF,Aston Villa,,0,0,,0.0,0.00,0,,0,120,1.0,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,178,Chambers,0,161,0,1,158,1092,157,,1221,0,148,0.0,71682,717,0,0.0,0.00,0.0,0,0.00,0.0,160,0,0.0,37375,0,0.0,,0,0,,416,227,0.0,470,,465,0,-1,69,0,388,441,0.0,0.0,0.0,0.0,0.0,459,0,0
38,Philippe Coutinho Correia,58,MID,Aston Villa,0.0,0,2,2023-08-20T22:00:05.790965Z,0.0,0.17,0,,0,314,0.2,0.02,False,0,0.3,2.8,0.56,7,u,0.0,0.64,331,Coutinho,0,198,0,2,195,0,213,0.0,135,0,172,2.55,46837,71,0,0.0,0.68,4.0,0,0.15,0.0,197,0,0.0,4781,24,0.08,Joined Al-Duhail on loan for the rest of the season,0,1,,340,44,3.75,431,,426,0,-2,99,0,723,390,12.0,1.0,0.0,1.8,0.0,429,0,0
39,Keinan Davis,49,FWD,Aston Villa,0.0,0,0,2023-09-03T20:12:01.415986Z,0.0,0.00,0,,0,82,0.1,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,372,Davis,0,83,0,1,85,0,85,0.0,141,0,84,0.0,22022,252,0,0.0,0.00,0.0,0,0.00,0.0,84,0,0.0,4950,0,0.0,Transferred to Udinese,0,0,,698,52,0.0,706,,706,0,-1,60,0,681,702,0.0,0.0,0.0,0.0,0.0,704,0,0
40,Leander Dendoncker,49,MID,Aston Villa,100.0,0,4,2023-08-10T15:00:04.947940Z,0.5,0.00,0,,0,156,0.0,0.00,False,0,0.8,0.8,0.0,10,a,0.5,0.0,617,Dendoncker,0,190,0,1,206,37,201,100.0,44,0,291,6.56,2264,234,0,0.0,0.51,7.4,0,0.00,0.1,203,0,0.5,1001,7,0.0,,0,0,,692,149,0.0,416,,437,0,-1,241,0,327,411,0.0,1.0,0.0,0.8,0.0,417,0,0
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,75.0,3,8,2023-11-10T02:00:09.636100Z,0.5,0.40,0,,0,103,0.3,0.03,False,0,1.8,13.5,0.12,47,d,0.4,0.13,274,Diego Carlos,0,115,0,1,125,57,120,75.0,1242,0,54,1.33,40744,496,0,0.99,4.02,56.8,0,0.37,0.1,114,0,0.4,18817,273,0.01,Muscle injury - 75% chance of playing,0,6,,210,99,1.98,355,,315,0,-1,108,0,307,354,45.0,1.1,0.0,11.5,0.0,294,0,0
42,Lucas Digne,47,DEF,Aston Villa,,12,35,,1.8,2.46,0,2.0,0,58,6.5,2.29,False,0,7.4,370.5,0.01,195,a,1.8,0.2,65,Digne,0,22,0,-2,3,7298,48,,13052,2,24,1.28,280906,315,0,1.01,15.26,226.8,4,0.17,0.4,2,2,1.8,781993,1070,0.19,,2,17,3.0,153,38,1.43,143,,31,0,2,23,0,182,10,76.0,2.9,0.0,67.3,0.17,71,3,1
43,Douglas Luiz Soares de Paulo,56,MID,Aston Villa,,12,60,,6.5,4.52,0,1.0,5,7,12.0,1.31,False,0,10.7,245.7,0.28,270,a,6.5,0.4,32,Douglas Luiz,0,6,0,-1,24,32501,13,,42088,2,46,1.31,367410,91,0,1.06,14.90,337.4,4,3.21,1.2,18,2,6.5,1304958,1023,0.12,,10,17,1.0,76,56,1.5,22,1.0,26,0,1,12,0,11,30,139.0,5.0,0.0,72.2,0.18,14,1,2
44,Jhon Durán,50,FWD,Aston Villa,100.0,0,15,2023-10-29T22:00:09.647546Z,0.0,0.74,0,,2,84,0.2,0.01,False,0,3.0,14.2,0.97,55,a,0.0,0.98,313,Duran,0,32,0,0,47,693,25,100.0,731,0,41,1.48,35077,209,0,0.0,1.12,72.6,2,0.73,0.0,40,0,0.0,43091,68,0.01,,3,0,,190,46,0.0,189,,298,0,0,50,0,701,350,55.0,2.5,0.0,13.7,0.0,267,0,0
45,Kortney Hause,40,DEF,Aston Villa,,0,0,,0.0,0.00,0,,0,137,0.2,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,321,Hause,0,174,0,0,172,210,170,,334,0,163,0.0,13279,632,0,0.0,0.00,0.0,0,0.00,0.0,174,0,0.0,9313,0,0.0,,0,0,,454,170,0.0,504,,500,0,0,125,0,427,478,0.0,0.0,0.0,0.0,0.0,493,0,0
46,Tim Iroegbunam,44,MID,Aston Villa,100.0,0,0,2023-08-10T15:00:04.998490Z,0.0,0.00,0,,0,214,0.0,0.00,False,0,0.0,0.0,0.0,0,a,0.0,0.0,590,Iroegbunam,0,238,0,1,239,46,247,100.0,47,0,233,0.0,3061,554,0,0.0,0.00,0.0,0,0.00,0.0,243,0,0.0,1055,0,0.0,,0,0,,587,309,0.0,622,,616,0,-1,223,0,567,601,0.0,0.0,0.0,0.0,0.0,609,0,0
47,Boubacar Kamara,50,MID,Aston Villa,100.0,12,23,2023-09-30T23:00:07.886006Z,1.8,0.63,0,,0,86,0.1,0.55,False,0,4.6,190.9,0.01,150,a,1.8,0.06,378,Kamara,0,60,0,0,40,247,116,100.0,318,2,159,1.26,12472,199,0,1.07,14.21,145.6,4,0.08,0.4,67,3,1.8,11591,1011,0.05,,1,16,,312,123,1.42,261,,121,0,0,121,0,189,51,17.0,1.9,0.0,35.5,0.27,152,0,0
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,,12,31,,2.5,0.96,0,,0,29,1.4,0.26,False,0,6.9,38.6,0.06,206,a,2.5,0.08,153,Konsa,0,27,0,0,80,3137,59,,2480,1,15,1.31,68509,379,0,1.0,15.71,212.4,2,0.70,0.6,36,2,2.5,89167,1080,0.02,,2,17,,125,69,1.42,175,,131,0,0,61,0,114,263,91.0,2.6,0.0,34.4,0.17,84,1,0
49,Emiliano Martínez Romero,49,GKP,Aston Villa,100.0,11,30,2023-08-25T14:00:08.378829Z,1.8,0.00,0,,0,19,7.2,0.00,False,30,6.1,0.0,0.0,187,a,1.8,0.0,54,Martinez,0,14,1,1,80,5009,17,100.0,9825,3,79,1.36,452347,227,0,1.0,14.98,237.6,2,0.00,0.4,14,2,1.8,372725,990,0.0,,3,16,,690,7,1.45,169,,211,0,-1,11,0,186,694,0.0,2.7,2.73,23.8,0.18,59,0,0
50,John McGinn,55,MID,Aston Villa,,12,51,,6.2,3.43,0,,3,8,0.8,1.63,False,0,9.3,259.7,0.16,199,a,6.2,0.3,192,McGinn,0,26,0,0,21,6933,28,,1254,10,49,1.18,58716,97,0,1.06,13.36,229.2,2,1.80,1.1,32,2,6.2,86021,1017,0.14,,6,15,2.0,80,59,1.33,50,,43,0,0,63,0,12,27,137.0,4.2,0.0,62.7,0.18,68,2,0
51,Tyrone Mings,41,DEF,Aston Villa,0.0,1,0,2023-08-12T21:30:06.077936Z,0.0,0.17,0,,0,184,1.4,0.16,False,0,0.0,13.0,0.03,5,i,0.0,0.51,149,Mings,0,156,0,4,126,98,214,0.0,1886,0,134,3.24,1046202,611,0,3.0,1.08,3.6,0,0.01,0.0,149,0,0.0,9395,30,0.48,Knee injury - Unknown return date,0,2,,378,161,6.0,570,,418,0,-4,60,0,496,355,5.0,0.0,0.0,2.2,0.0,430,0,0
